,experiences_offered,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,neighbourhood,minimum_nights,maximum_nights
317,none,52.580569999999994,13.445229999999999,Apartment,Entire home/apt,6,1.0,2.0,55.0,Heinersdorf,2,1125
318,none,52.49275,13.368829999999999,Apartment,Private room,2,1.0,1.0,50.0,Schöneberg,3,20
319,none,52.50395,13.42005,Apartment,Entire home/apt,2,1.0,1.0,59.0,Kreuzberg,3,30
320,none,52.521409999999996,13.40494,Apartment,Entire home/apt,4,1.0,2.0,110.0,Mitte,4,14
321,none,52.503330000000005,13.43878,Apartment,Entire home/apt,2,1.0,1.0,89.0,Kreuzberg,3,20
322,none,52.490869999999994,13.42356,Apartment,Entire home/apt,2,1.0,1.0,78.0,Kreuzberg,5,1125
323,none,52.53586,13.421370000000001,Apartment,Private room,2,1.0,1.0,56.0,Prenzlauer Berg,2,12
324,none,52.493230000000004,13.411829999999998,Apartment,Entire home/apt,4,1.0,1.0,82.0,Kreuzberg,2,1000
325,none,52.475080000000005,13.448120000000001,Apartment,Entire home/apt,2,1.0,1.0,60.0,Neukölln,3,90
326,none,52.55996999999999,13.41787,Apartment,Private room,2,1.0,1.0,40.0,Pankow,4,14
327,none,52.51405,13.45346,Apartment,Private room,4,1.0,1.0,25.0,Friedrichshain,3,30
